Technology_ID,Technology_Name,Domain,Impact_Score,Maturity_Score,Momentum_Score,Composite_Score,CAGR,Pharma_Relevance,Rationale,Category
1.11,Autonomous AI Agents,Artificial Intelligence,7,7,9,7.4,0.0,6,"Impact: 7/9 (Pharma indicators: 6, CAGR: 0.0%), Maturity: 7/9 (Deployment: 2, Mature: 0), Momentum: 9/9 (CAGR: 0.0%, Acceleration: 2)",Deploy
2.1,Quantum Computing,Quantum Computing,7,7,9,7.4,0.0,8,"Impact: 7/9 (Pharma indicators: 8, CAGR: 0.0%), Maturity: 7/9 (Deployment: 2, Mature: 0), Momentum: 9/9 (CAGR: 0.0%, Acceleration: 2)",Deploy
3.1,Blockchain Technology,Blockchain & DLT,7,7,8,7.200000000000001,0.0,5,"Impact: 7/9 (Pharma indicators: 5, CAGR: 0.0%), Maturity: 7/9 (Deployment: 2, Mature: 1), Momentum: 8/9 (CAGR: 0.0%, Acceleration: 1)",Deploy
4.1,"Cloud Computing (IaaS, PaaS, SaaS)",Cloud Computing,7,8,8,7.6,0.0,7,"Impact: 7/9 (Pharma indicators: 7, CAGR: 0.0%), Maturity: 8/9 (Deployment: 1, Mature: 2), Momentum: 8/9 (CAGR: 0.0%, Acceleration: 1)",Deploy
5.1,Cybersecurity Solutions & Services,Cybersecurity,7,8,9,7.8,0.0,7,"Impact: 7/9 (Pharma indicators: 7, CAGR: 0.0%), Maturity: 8/9 (Deployment: 1, Mature: 2), Momentum: 9/9 (CAGR: 0.0%, Acceleration: 2)",Deploy
6.1,5G Services & Infrastructure,5G & Advanced Connectivity,7,7,9,7.4,0.0,7,"Impact: 7/9 (Pharma indicators: 7, CAGR: 0.0%), Maturity: 7/9 (Deployment: 2, Mature: 1), Momentum: 9/9 (CAGR: 0.0%, Acceleration: 3)",Deploy
17.0,Internet of Things (IoT) & Connected Devices,IoT & Connected Devices,7,8,8,7.6,9.6,6,"Impact: 7/9 (Pharma indicators: 6, CAGR: 9.6%), Maturity: 8/9 (Deployment: 3, Mature: 2), Momentum: 8/9 (CAGR: 9.6%, Acceleration: 1)",Deploy
18.0,Augmented Reality (AR) & Virtual Reality (VR),Extended Reality,8,8,9,8.200000000000001,34.2,7,"Impact: 8/9 (Pharma indicators: 7, CAGR: 34.2%), Maturity: 8/9 (Deployment: 2, Mature: 2), Momentum: 9/9 (CAGR: 34.2%, Acceleration: 4)",Deploy
19.0,Service Robotics & Automation,Robotics & Automation,7,8,8,7.6,15.9,6,"Impact: 7/9 (Pharma indicators: 6, CAGR: 15.9%), Maturity: 8/9 (Deployment: 2, Mature: 2), Momentum: 8/9 (CAGR: 15.9%, Acceleration: 1)",Deploy
20.0,Agricultural Biotechnology & Precision Agriculture,Biotechnology,7,8,5,7.0,9.4,2,"Impact: 7/9 (Pharma indicators: 2, CAGR: 9.4%), Maturity: 8/9 (Deployment: 3, Mature: 2), Momentum: 5/9 (CAGR: 9.4%, Acceleration: 0)",Deploy
